raw_robot_type,canonical_robot_type
a2d,A2D
ruantong_a2d,A2D
agilex,Agilex
agilex_3rgb,Agilex
agilex_cobot_decoupled_magic,Agilex
agilex_mobile,Agilex
Airbot_MMK2,Airbot MMK2
discover_robotics_aitbot_mmk2,Airbot MMK2
ark,Ark
ark_mobile,Ark
Franka,Franka
franka,Franka
franka_1rgb,Franka
franka_3rgb,Franka
franka_fr3_dual,Franka
franka_sim,Franka
galaxea_r1_lite,Galaxea R1 Lite
r1lite,Galaxea R1 Lite
rh20t_custom_6dof,RH20T custom
rh20t_custom_7dof,RH20T custom
tienkung,TienKung
tienkung_gello_1rgb,TienKung
tienkung_prod1_gello_1rgb,TienKung
tienkung_sim,TienKung
tienkung_xsens_1rgb,TienKung
tienyi,TienYi
tienyi_mobile,TienYi
ur,UR
ur_1rgb,UR
ur_dex,UR
Unitree_G1_Dex3_phecda,Unitree G1
unitree_g1,Unitree G1
